Tempo 0:	 p1 está pronto
Tempo 1:	 p7 está pronto
Tempo 1: 	executando p1 -- fila de prontos vazia
Tempo 2:	 p2 está pronto
Tempo 2:	 p1 está pronto
Tempo 2: 	executando p1 -- fila de prontos: p7  
Tempo 3:	 p3 está pronto
Tempo 3: 	executando p2 -- fila de prontos: p1 ,p7  
Tempo 4: 	executando p2 -- fila de prontos: p3 ,p1 ,p7  
Tempo 5: 	executando p2 -- fila de prontos: p3 ,p1 ,p7  
Tempo 6:	 p6 está pronto
fila de prontos: p3 ,p1 ,p6 ,p7  
Tempo 6: 	executando p2 -- fila de prontos: p3 ,p1 ,p7  
Tempo 7:	 p9 está pronto
Tempo 7: 	executando p2 -- fila de prontos: p3 ,p1 ,p6 ,p7  
Tempo 8: 	executando p2 -- fila de prontos: p9 ,p3 ,p1 ,p6 ,p7  
Tempo 8:	p2 acabou -- fila de prontos: p9 ,p3 ,p1 ,p6 ,p7  
Tempo 9: 	executando p9 -- fila de prontos: p1 ,p6 ,p7  
Tempo 10:	 p4 está pronto
fila de prontos: p1 ,p4 ,p6 ,p7  
Tempo 10: 	executando p9 -- fila de prontos: p1 ,p6 ,p7  
Tempo 11: 	executando p9 -- fila de prontos: p1 ,p4 ,p6 ,p7  
Tempo 12: 	executando p3 -- fila de prontos: p1 ,p4 ,p6 ,p7  
Tempo 13:	 p5 está pronto
fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 13: 	executando p3 -- fila de prontos: p1 ,p4 ,p6 ,p7  
Tempo 14: 	executando p3 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 15: 	executando p9 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 16: 	executando p9 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 17: 	executando p9 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 18: 	executando p3 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 19: 	executando p3 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 20:	 p8 está pronto
Tempo 20:	 p9 está pronto
Tempo 20:	 p3 está pronto
Tempo 20: 	executando p3 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 21: 	executando p8 -- fila de prontos: p3 ,p9 ,p1 ,p4 ,p5 ,p6 ,p7  
Tempo 22: 	executando p8 -- fila de prontos: p3 ,p9 ,p1 ,p4 ,p5 ,p6 ,p7  
Tempo 23: 	executando p8 -- fila de prontos: p3 ,p9 ,p1 ,p4 ,p5 ,p6 ,p7  
Tempo 24: 	executando p8 -- fila de prontos: p3 ,p9 ,p1 ,p4 ,p5 ,p6 ,p7  
Tempo 24:	p8 acabou -- fila de prontos: p3 ,p9 ,p1 ,p4 ,p5 ,p6 ,p7  
Tempo 25: 	executando p9 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 26: 	executando p9 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 26:	p9 acabou -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 27: 	executando p3 -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 27:	p3 acabou -- fila de prontos: p1 ,p4 ,p5 ,p6 ,p7  
Tempo 28: 	executando p1 -- fila de prontos: p4 ,p5 ,p6 ,p7  
Tempo 29: 	executando p1 -- fila de prontos: p4 ,p5 ,p6 ,p7  
